Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Creative Nails,4125 N Sheridan RD,312,Sufficient,24.57
,#12,,,
,"Peoria, IL 61614",,,
Creo Fit,2200 W War Memorial DR,364,Sufficient,29.21
,#BL08,,,
,"Peoria, IL 61613",,,
Crittenton Ctr,442 W John H Gwynn Jr AVE,661,Sufficient,30.56
,"Peoria, IL 61605",,,
CROSS FIT NORTH PEORIA,8002 N Sommer ST,0,Insufficient,0
,"Peoria, IL 61614",,,
Crows Nest,633 E Lake AVE,882,Sufficient,31.53
,"Peoria, IL 61614",,,
Cue Sports College,3221 NE Adams ST,810,Sufficient,36.18
,"Peoria, IL 61603",,,
Culvers,5019 W Holiday DR,530,Insufficient,21.63
,"Peoria, IL 61615",,,
Cursens I,426 E War Memorial DR,1708,Sufficient,31.04
,"Peoria, IL 61614",,,
"Cusack, Patrick DMD MSD",1324 W Northmoor RD,900,Sufficient,33.86
,"Peoria, IL 61614",,,
CVS/Pharmacy,9315 N Lindbergh DR,644,Sufficient,25.3
,"Peoria, IL 61615",,,
CVS/Pharmacy,3015 N Sterling AVE,911,Sufficient,30.8
,"Peoria, IL 61604",,,
CVS/Pharmacy 7797,6820 N Pear Tree LN,744,Sufficient,26.4
,"Peoria, IL 61615",,,
CWS Real Estate,4909 N Glen Park PL,25,Sufficient,22.73
,"Peoria, IL 61614",,,
CxT Roasting Company,309 Main ST,262,Sufficient,39.47
,#B,,,
,"Peoria, IL 61602",,,
Cyd's,5805 N Knoxville AVE,2039,Insufficient,28.36
,"Peoria, IL 61614",,,
Daarul Uloom,4125 W Charter Oak RD,872,Sufficient,24.57
,"Peoria, IL 61615",,,
DAIRY QUEEN,8530 N Knoxville AVE,0,Insufficient,0
,"Peoria, IL 61615",,,
Dairy Queen,7600 N Grand Prairie DR,1146,Sufficient,31.41
,"Peoria, IL 61615",,,
Dan's Tow Bar,1923 SW Adams ST,1146,Sufficient,33
,"Peoria, IL 61605",,,
Dave's Garage,2408 N Knoxville AVE,1046,Sufficient,34.83
,"Peoria, IL 61603",,,
Daves Bar,901 S Shelley ST,1146,Sufficient,34.1
,"Peoria, IL 61605",,,
